"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1873.33355417794/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x321f60674368a9f471e58edb8b5f4124ad63f70d7e72c68487d04d55798130e6","16674137","1676949239","2023-02-21 03:13:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000089909385","0","0.000000168430267756003","0.003665986669415216","6.86761583698456","1659.64","","","0x613bf604"
"0x2f5721fd350372829503c7b397984ae9d53ef6eea8d0b8791373c1a425947faa","16674137","1676949239","2023-02-21 03:13:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000245649792","0","0.000000460183997930432","0.00234646142955675","4.395704929573","1659.64","","","0x2519dc1d"
"0x719d4d2b933f5bda9751f5e7223df0ab3c6257fc3ae1eee3e7a9e39aa595fa17","16674137","1676949239","2023-02-21 03:13:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000246860342","0","0.000000462451761864442","0.003360675436859313","6.29566606057016","1659.64","","","0x6139dc1d"
"0x8282197f54242261e5c5ce5b83611be6e7209150ad5a160a7dc428eeccb4567b","16674140","1676949275","2023-02-21 03:14:35","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000101943061","0","0.000000190973356786909","0.0036696840485778","6.87454226143234","1659.64","","","0x2519ce86"
"0xdd12bd414d26c8ad141a8536bf443db7ea7b2cfe2b8d351068c79e35cdf0a783","16674140","1676949275","2023-02-21 03:14:35","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000106314484","0","0.000000199162490172314","0.01528507364611371","28.6340413393458","1659.64","","","0x6139ce86"
"0x858dc2de9617ba1e2eb901201e70d7c2229627577b51f299b33eadcf5310ea6b","16674142","1676949299","2023-02-21 03:14:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.00000000008036704","0","0.000000150554272681961","0.0025586290470954","4.79316564661814","1659.64","","","0x251aec7a"
"0x5f77e543130de8c75cc9f6df59d3ae0edd24f3e362b4b98575d9f93033029225","16674142","1676949299","2023-02-21 03:14:59","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000084136092","0","0.000000157614964261002","0.01414972747283232","26.5071592573302","1659.64","","","0x613aec7a"
"0xc11538725694935acfa0b91c8bdd5b99082372ac5310c3388e0fe698a76f496b","16674143","1676949311","2023-02-21 03:15:11","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000057459559","0","0.000000107640919882967","0.002320577347529853","4.34721541019292","1659.64","","","0x2519a3ed"
"0xe35b13babb8e0aa060d7ec9f2e84ca6c490b0fb05aac5cc0b33e87418c8c50f1","16674143","1676949311","2023-02-21 03:15:11","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000061286505","0","0.000000114810066234794","0.01410617814333138","26.4255768371141","1659.64","","","0x6139a3ed"
"0x3747761c880e97dbce675c2999259d5ff0d3232ab967d0c3b1bc5d425440dbc7","16674150","1676949395","2023-02-21 03:16:35","0x00000027f490acee7f11ab5fdd47209d6422c5a7","0x6b75d8af000000e20b7a7ddf000ba900b4009a80","","0.000000000012656422","0","0.0000000237097000084359","0.00202159104702606","3.78711434121963","1659.64","","","0x2519a3ed"
